decennie,Acier,AmianteCiment,Autre,Beton,Fonte,FonteGrise,Plastique
1850.0,,,0.0,,,,
1900.0,0.07235439762793344,0.7733892235945584,0.017384715893235914,0.0,0.05037439882970196,0.04790528918512784,0.2109630271642799
1910.0,0.0,,,,,0.0,
1920.0,,,,,,0.08877833027491988,
1930.0,0.2785189476440082,,2.5262241499255733,,0.6300323836645203,0.17075662141184397,0.8959740525914371
1940.0,0.7140803311809366,0.0,0.0,0.0,0.0,0.14446516125546377,0.4525055304204141
1950.0,0.04600715411246449,,0.2403772480530945,0.02763659571676985,0.19407351728765837,0.22510643082635187,0.425736511560959
1960.0,0.16055376438319646,0.35526477134021356,0.0783366722163847,0.05529201415670189,0.10126268712921428,0.12776785053126766,0.4755793738782884
1970.0,0.14818513954965054,0.3201057914073291,0.018603200978379544,0.02750602175581289,0.05160837283547925,0.07984686309719008,0.6453437008245931
1980.0,0.24882827967110682,0.25907130063184247,0.0,0.006516043329472686,0.035810496942280445,0.15502035262980923,0.3163518932375631
1990.0,0.05332241290317076,0.0,0.004829972413129566,0.04347157758702836,0.030346439160802298,0.05283847018579994,0.13913649768276717
2000.0,1.0474817665430831,,0.0048492362743822025,0.0698793707362665,0.02625568579456731,0.05327883263946534,0.04339416953571163
2010.0,0.30522670204583285,0.0,0.006507656420470094,0.0,0.02864356235253736,0.29094294608827215,0.08011467375762213
2020.0,0.0,,0.0,0.0,0.014577491889375061,0.0,0.029029425822632245
