feature,mean_abs_shap
Age,0.73131037
Longueur,0.6577993
Age_x_materiau,0.30790743
Age^2,0.23015928
Diametre,0.17760213
Decennie_pose,0.15960948
Materiau,0.14755198
Famille_mat,0.06276117
Log(Age),0.05508704
Etat,0.03997014
Densite_anom/ml,0.023538986
Date_fiable,0.022008326
Fuites_par_an_age,0.014578569
Temps_depuis_dern_fuite,0.013543039
Densite_fuites/ml,0.007917219
Intervalle_moyen,0.0024313994
Nb_anom_hist,0.0021125525
Nb_fuites_hist,0.00044808575
Acceleration,0.00038899784
A_deja_fuite,9.657823e-05
